date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:59	102515/102515	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:13:57%20GMT	https://solar-digital.com/blog/authors/david-roberts	C:/My%20Web%20Sites/halo/solar-digital.com/blog/authors/david-roberts.html	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:43:59	4580/4580	---M--	200	added ('OK')	image/jpeg	etag:%225c2c6098-11e4%22	https://solar-digital.com/images/author/8/1546412184.jpeg	C:/My%20Web%20Sites/halo/solar-digital.com/images/author/8/1546412184.jpg	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:00	163631/163631	---M--	200	added ('OK')	image/jpeg	etag:%225cde661c-27f2f%22	https://solar-digital.com/images/content/15580790040.jpg	C:/My%20Web%20Sites/halo/solar-digital.com/images/content/15580790040.jpg	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:01	387463/387463	---M--	200	added ('OK')	image/png	etag:%225cde8bd2-5e987%22	https://solar-digital.com/images/content/15580886580.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/content/15580886580.png	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:01	105336/105336	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:13:59%20GMT	https://solar-digital.com/portfolio/klazz	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/klazz.html	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:01	105176/105176	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:14:00%20GMT	https://solar-digital.com/portfolio/gettravel	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/gettravel.html	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:02	2767162/2767162	---M--	200	added ('OK')	image/jpeg	etag:%225cde6171-2a393a%22	https://solar-digital.com/images/content/15580778090.jpg	C:/My%20Web%20Sites/halo/solar-digital.com/images/content/15580778090.jpg	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:02	114941/114941	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:14:01%20GMT	https://solar-digital.com/blog/start-ups-first-aid/	C:/My%20Web%20Sites/halo/solar-digital.com/blog/start-ups-first-aid/index.html	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:02	106526/106526	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:14:01%20GMT	https://solar-digital.com/blog/tag-8	C:/My%20Web%20Sites/halo/solar-digital.com/blog/tag-8.html	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
14:44:03	125578/125578	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:14:02%20GMT	https://solar-digital.com/blog/the-keys-to-find-a-balance-between-design-deliverables-and-presentation-skills/	C:/My%20Web%20Sites/halo/solar-digital.com/blog/the-keys-to-find-a-balance-between-design-deliverables-and-presentation-skills/index.html	(from https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses)
